title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
온앤온 벨티드 구스 다운 NEP3XMA05,https://search.shopping.naver.com/catalog/44425858620,https://shopping-phinf.pstatic.net/main_4442585/44425858620.20231204174931.jpg,270260,,네이버,44425858620,1,온앤온,보끄레머천다이징,패션의류,여성의류,아우터,패딩
스노우피크어패럴 랜드 경량 다운 자켓 S25WMGDJ60,https://search.shopping.naver.com/catalog/56631102903,https://shopping-phinf.pstatic.net/main_5663110/56631102903.20250923105039.jpg,146780,,네이버,56631102903,1,스노우피크어패럴,,스포츠/레저,등산,등산의류,점퍼
스파오 베이직 퍼플리스 집업 SPFZF4TC01,https://search.shopping.naver.com/catalog/53041682606,https://shopping-phinf.pstatic.net/main_5304168/53041682606.20251015121813.jpg,13410,,네이버,53041682606,1,스파오,이랜드,패션의류,남성의류,아우터,패딩
탑텐 플러피플리스 하이넥 집업 MSF4TC3912,https://search.shopping.naver.com/catalog/56471521019,https://shopping-phinf.pstatic.net/main_5647152/56471521019.20250828225804.jpg,15900,,네이버,56471521019,1,탑텐,탑텐,패션의류,남성의류,점퍼,
디스커버리익스페디션 레스터G 구스다운 숏<b>패딩</b> DMDJ61056,https://search.shopping.naver.com/catalog/56962167364,https://shopping-phinf.pstatic.net/main_5696216/56962167364.20250928192937.jpg,312300,,네이버,56962167364,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
K2 ON 야상다운 GMW24583,https://search.shopping.naver.com/catalog/53352583546,https://shopping-phinf.pstatic.net/main_5335258/53352583546.20250310015958.jpg,156220,,네이버,53352583546,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
디스커버리익스페디션 사각퀼팅 다운 경량<b>패딩</b> DMDJ53056,https://search.shopping.naver.com/catalog/56863777639,https://shopping-phinf.pstatic.net/main_5686377/56863777639.20250922151624.jpg,101150,,네이버,56863777639,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
지오다노 덕다운 푸파 <b>패딩</b> 점퍼 375922,https://search.shopping.naver.com/catalog/58550788166,https://shopping-phinf.pstatic.net/main_5855078/58550788166.20260118010139.jpg,88200,,네이버,58550788166,1,지오다노,지오다노,패션의류,여성의류,점퍼,
나이키 ACG 라바 플로우 써마 핏 ADV 재킷 HJ3736,https://search.shopping.naver.com/catalog/57232706409,https://shopping-phinf.pstatic.net/main_5723270/57232706409.20251015101005.jpg,197400,,네이버,57232706409,1,나이키,나이키,패션의류,남성의류,아우터,패딩
ZOOC 벨티드 구스 <b>패딩</b> z254psg186,https://search.shopping.naver.com/catalog/57314270860,https://shopping-phinf.pstatic.net/main_5731427/57314270860.20251113090829.jpg,287280,,네이버,57314270860,1,ZOOC,대현,패션의류,여성의류,아우터,패딩
K2 시그니처 씬에어 블랑 다운자켓 KWW24564,https://search.shopping.naver.com/catalog/58106269390,https://shopping-phinf.pstatic.net/main_5810626/58106269390.20251211222708.jpg,197730,,네이버,58106269390,1,K2,K2코리아,스포츠/레저,등산,등산의류,점퍼
노스페이스 눕시 하이브리드 다운 볼 자켓 NJ1DR56,https://search.shopping.naver.com/catalog/57781546926,https://shopping-phinf.pstatic.net/main_5778154/57781546926.20251212121608.jpg,119990,,네이버,57781546926,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
노스페이스 눕시 하이브리드 다운 볼 자켓 NJ1DR56A,https://search.shopping.naver.com/catalog/58742668190,https://shopping-phinf.pstatic.net/main_5874266/58742668190.20260201021411.jpg,309000,,네이버,58742668190,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
내셔널지오그래픽 헤론 U넥 경량 구스다운 점퍼 N254UDW920,https://search.shopping.naver.com/catalog/56885317751,https://shopping-phinf.pstatic.net/main_5688531/56885317751.20251016103656.jpg,122000,,네이버,56885317751,1,내셔널지오그래픽,더네이쳐홀딩스,패션의류,남성의류,아우터,패딩
노스페이스 화이트라벨 노벨티 눕시 다운 자켓 NJ1DR63,https://search.shopping.naver.com/catalog/57450063935,https://shopping-phinf.pstatic.net/main_5745006/57450063935.20251030103254.jpg,119000,,네이버,57450063935,1,노스페이스,영원아웃도어,스포츠/레저,등산,등산의류,점퍼
아이더 POP 벤치 UNI 다운 자켓 DUW24592,https://search.shopping.naver.com/catalog/55732650172,https://shopping-phinf.pstatic.net/main_5573265/55732650172.20250926142514.jpg,125850,,네이버,55732650172,1,아이더,아이더,스포츠/레저,등산,등산의류,점퍼
디스커버리익스페디션 레스터G RDS 구스다운 DMDJ67046,https://search.shopping.naver.com/catalog/53978452003,https://shopping-phinf.pstatic.net/main_5397845/53978452003.20250421045742.jpg,174770,,네이버,53978452003,1,디스커버리익스페디션,F&F,스포츠/레저,등산,등산의류,점퍼
내셔널지오그래픽 레이만 숏기장 다운 점퍼 N244UDW910,https://search.shopping.naver.com/catalog/51947002930,https://shopping-phinf.pstatic.net/main_5194700/51947002930.20250818153431.jpg,144430,,네이버,51947002930,1,내셔널지오그래픽,내셔널지오그래픽,패션의류,남성의류,아우터,패딩
블랙야크 아이스제로 레이디 다운자켓 1BYPAWU538,https://search.shopping.naver.com/catalog/57727764363,https://shopping-phinf.pstatic.net/main_5772776/57727764363.20251121104457.jpg,201000,,네이버,57727764363,1,블랙야크,블랙야크,스포츠/레저,등산,등산의류,점퍼
헤지스 다운 <b>패딩</b>점퍼 WHJU4D403,https://search.shopping.naver.com/catalog/58403923642,https://shopping-phinf.pstatic.net/main_5840392/58403923642.20260106173618.jpg,205430,,네이버,58403923642,1,헤지스,LF,패션의류,남성의류,점퍼,
에고이스트 사가 폭스퍼 시그니처 페미닌 롱 구스 다운 ER4TD007,https://search.shopping.naver.com/catalog/58008157817,https://shopping-phinf.pstatic.net/main_5800815/58008157817.20251231122045.jpg,296950,,네이버,58008157817,1,에고이스트,,패션의류,여성의류,점퍼,
지오지아 맥 구스다운 코트 ABF4FP1105,https://search.shopping.naver.com/catalog/57703932322,https://shopping-phinf.pstatic.net/main_5770393/57703932322.20251110091101.jpg,123490,,네이버,57703932322,1,지오지아,신성통상,패션의류,남성의류,아우터,패딩
지오다노 경량 <b>패딩</b> 374913,https://search.shopping.naver.com/catalog/56710210982,https://shopping-phinf.pstatic.net/main_5671021/56710210982.20251125200915.jpg,35900,,네이버,56710210982,1,지오다노,지오다노,패션의류,여성의류,아우터,패딩
코오롱스포츠 쿠치 후드 일체형 미드 다운 TLJDW25611,https://search.shopping.naver.com/catalog/57727673719,https://shopping-phinf.pstatic.net/main_5772767/57727673719.20251111225247.jpg,362560,,네이버,57727673719,1,코오롱스포츠,코오롱인더스트리,스포츠/레저,등산,등산의류,점퍼
