period,ratio
2025-11-03,35.16726
2025-11-04,34.64921
2025-11-05,34.41635
2025-11-06,33.47067
2025-11-07,31.68888
2025-11-08,37.7698
2025-11-09,40.95258
2025-11-10,33.38027
2025-11-11,33.50108
2025-11-12,34.15281
2025-11-13,32.52581
2025-11-14,30.50952
2025-11-15,34.8744
2025-11-16,39.30668
2025-11-17,32.57813
2025-11-18,30.72759
2025-11-19,29.80135
2025-11-20,27.65
2025-11-21,26.3838
2025-11-22,31.0755
2025-11-23,35.83323
2025-11-24,29.1477
2025-11-25,29.86765
2025-11-26,28.95731
2025-11-27,28.92333
2025-11-28,26.16162
2025-11-29,30.11147
2025-11-30,33.54135
2025-12-01,28.06586
2025-12-02,27.8878
2025-12-03,27.19579
2025-12-04,25.62029
2025-12-05,24.39408
2025-12-06,28.92881
2025-12-07,32.81949
2025-12-08,27.49166
2025-12-09,25.08006
2025-12-10,8.1961
2025-12-11,0.10382
2025-12-12,0.01753
2025-12-13,0.00767
2025-12-14,0.00986
2025-12-15,0.00356
2025-12-16,0.0041
2025-12-17,0.00328
2025-12-18,0.00794
2025-12-19,0.00465
2025-12-20,0.0041
2025-12-21,0.00739
2025-12-22,0.00356
2025-12-23,0.00027
2025-12-25,0.00027
2025-12-27,0.00027
2025-12-29,0.00109
2026-01-06,0.00082
2026-01-07,0.00027
2026-01-08,0.00027
2026-01-11,0.00054
2026-01-12,0.00054
2026-01-14,0.00027
2026-01-21,0.00082
2026-01-25,0.00054
2026-01-26,0.00027
2026-01-29,0.00027
2026-01-30,0.00027
2026-01-31,0.00054
2026-02-02,0.00082
2026-02-04,0.00054
2026-02-05,0.00082
2026-02-08,0.00136
2026-02-09,0.00027
