title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
[백화점] 폴로 걸즈 케이블 코튼 꽈배기 가디건 가품1000%보상,https://smartstore.naver.com/main/products/7003608087,https://shopping-phinf.pstatic.net/main_8454810/84548108409.6.jpg,75000,,로켓뉴욕,84548108409,2,폴로랄프로렌,폴로랄프로렌,패션의류,여성의류,니트,카디건
캐시미어 스판 목티 /이너목티 정장목티 겨울 폴라,https://smartstore.naver.com/main/products/4686286940,https://shopping-phinf.pstatic.net/main_8223080/82230807658.1.jpg,26000,,콜린맨즈,82230807658,2,,,패션의류,남성의류,니트,터틀넥
레이어드가디건 캐시미어가디건 여자봄가디건 사무실,https://smartstore.naver.com/main/products/10064618231,https://shopping-phinf.pstatic.net/main_8760912/87609120854.2.jpg,29800,,미드시티 여성니트,87609120854,2,,,패션의류,여성의류,니트,카디건
비버리힐즈폴로클럽 25FW 여성 울 블렌디드 반집업 케이블 <b>니트</b> 3종 전사공용,https://search.shopping.naver.com/catalog/57140867615,https://shopping-phinf.pstatic.net/main_5714086/57140867615.20251218161918.jpg,67400,,네이버,57140867615,1,비버리힐즈폴로클럽,비버리힐즈폴로클럽,패션의류,여성의류,니트,풀오버
제로스트릿 2컬러 울 블렌딩 컷 아웃 랩 스웨터,https://search.shopping.naver.com/catalog/54214948215,https://shopping-phinf.pstatic.net/main_5421494/54214948215.20260107220040.jpg,34300,,네이버,54214948215,1,제로스트릿,,패션의류,여성의류,니트,풀오버
폴로랄프로렌 케이블 <b>니트</b> 코튼 쿼터 지퍼 스웨터 MNPOSWE16820773001,https://search.shopping.naver.com/catalog/39624803621,https://shopping-phinf.pstatic.net/main_3962480/39624803621.20251028155325.jpg,72110,,네이버,39624803621,1,폴로랄프로렌,랄프로렌,패션의류,남성의류,니트,풀오버
블루핏 25FW 상 블루핏 NEW 후드<b>니트</b> 3종,https://search.shopping.naver.com/catalog/57269475329,https://shopping-phinf.pstatic.net/main_5726947/57269475329.20251017203516.jpg,66100,,네이버,57269475329,1,,,패션의류,여성의류,니트,풀오버
폴로 랄프로렌 여성 라운드넥 브이넥 <b>니트</b> 스웨터,https://smartstore.naver.com/main/products/9992605136,https://shopping-phinf.pstatic.net/main_8753710/87537107409.jpg,128900,,브라이튼365,87537107409,2,폴로랄프로렌,폴로랄프로렌,패션의류,여성의류,니트,풀오버
폴로 랄프로렌 남녀공용 케이블 <b>니트</b> 반집업 스웨터 3종 택1,http://with.gsshop.com/alia/aliaGate.gs?media=OB&ecpid=1066707240&vodFlag=N&prdseqnum=1066707240&utm_source=price&utm_medium=affiliate&utm_campaign=naver,https://shopping-phinf.pstatic.net/main_5087865/50878652300.1.jpg,68970,,GSSHOP,50878652300,2,폴로랄프로렌,폴로,패션의류,남성의류,니트,터틀넥
제너럴아이디어 에센셜 크루넥 가디건 WBD3L04501,https://search.shopping.naver.com/catalog/49541497760,https://shopping-phinf.pstatic.net/main_4954149/49541497760.20250902113335.jpg,32900,,네이버,49541497760,1,제너럴아이디어,,패션의류,여성의류,니트,카디건
BNX <b>니트</b> 가디건 BX3CD001L0,https://search.shopping.naver.com/catalog/56384375434,https://shopping-phinf.pstatic.net/main_5638437/56384375434.20250822113310.jpg,13595,,네이버,56384375434,1,BNX,디에스패션,패션의류,여성의류,니트,카디건
