title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
오버핏 남자 발마칸 롱 울 로브 맥 <b>트렌치 코트</b> 싱글 더블 맥시 그레이 가운 130cm,https://shopping.naver.com/outlink/itemdetail/7524271070,https://shopping-phinf.pstatic.net/main_8506877/85068771391.jpg,133900,,센트마켓,85068771391,2,,,패션의류,남성의류,아우터,트렌치코트
스튜디오톰보이 오버사이즈 <b>트렌치코트</b> 9104311831,https://search.shopping.naver.com/catalog/54095151816,https://shopping-phinf.pstatic.net/main_5409515/54095151816.20251012145847.jpg,133670,,네이버,54095151816,1,스튜디오톰보이,신세계인터내셔날,패션의류,여성의류,아우터,트렌치코트
샤틴 하프 <b>트렌치코트</b> S253K751,https://search.shopping.naver.com/catalog/56828715385,https://shopping-phinf.pstatic.net/main_5682871/56828715385.20250920183302.jpg,99000,,네이버,56828715385,1,샤틴,,패션의류,여성의류,아우터,트렌치코트
보브 클래식 더블 <b>트렌치 코트</b> 7124316501,https://search.shopping.naver.com/catalog/48532771281,https://shopping-phinf.pstatic.net/main_4853277/48532771281.20250905122829.jpg,119800,,네이버,48532771281,1,보브,신세계인터내셔날,패션의류,여성의류,아우터,트렌치코트
빈폴 코튼 혼방 체크 맥 <b>트렌치 코트</b> BF483TC03,https://search.shopping.naver.com/catalog/57267323141,https://shopping-phinf.pstatic.net/main_5726732/57267323141.20260209144204.jpg,183600,,네이버,57267323141,1,빈폴,삼성물산,패션의류,여성의류,아우터,트렌치코트
빈폴레이디스 롱 <b>트렌치 코트</b> BF483TE01,https://search.shopping.naver.com/catalog/53303484189,https://shopping-phinf.pstatic.net/main_5330348/53303484189.20250827175602.jpg,271370,,네이버,53303484189,1,빈폴레이디스,삼성물산,패션의류,여성의류,아우터,트렌치코트
씨씨콜렉트 벨티드 하프 더블 <b>트렌치 코트</b> C253MSI001,https://search.shopping.naver.com/catalog/56615734557,https://shopping-phinf.pstatic.net/main_5661573/56615734557.20250906071418.jpg,114910,,네이버,56615734557,1,씨씨콜렉트,대현,패션의류,여성의류,아우터,트렌치코트
보브 레터링 자수 싱글 <b>트렌치 코트</b> 7125116500,https://search.shopping.naver.com/catalog/52101725307,https://shopping-phinf.pstatic.net/main_5210172/52101725307.20250416124333.jpg,97262,,네이버,52101725307,1,보브,신세계인터내셔날,패션의류,여성의류,아우터,트렌치코트
런던바바리 루즈핏 여자 봄 가을 하프 <b>트렌치코트</b>,https://smartstore.naver.com/main/products/8019511541,https://shopping-phinf.pstatic.net/main_8556401/85564011864.13.jpg,49500,,Reve K,85564011864,2,,,패션의류,여성의류,아우터,트렌치코트
BCBG 트니 <b>트렌치 코트</b> b5a1n702,https://search.shopping.naver.com/catalog/57278082701,https://shopping-phinf.pstatic.net/main_5727808/57278082701.20251019141532.jpg,76140,,네이버,57278082701,1,BCBG,수인터내셔날,패션의류,여성의류,아우터,트렌치코트
에스제이와니 SJ와니 스프링 야상 <b>트렌치코트</b> 1종,https://search.shopping.naver.com/catalog/52894782872,https://shopping-phinf.pstatic.net/main_5289478/52894782872.20250208165053.jpg,59940,,네이버,52894782872,1,에스제이와니,,패션의류,여성의류,아우터,트렌치코트
여자 봄 점퍼 후드 야상 <b>트렌치</b> 자켓 여자점퍼,https://smartstore.naver.com/main/products/6415398495,https://shopping-phinf.pstatic.net/main_8395989/83959898828.jpg,52560,,에스마랑샵,83959898828,2,,,패션의류,여성의류,아우터,트렌치코트
시스티나 레더 오버핏 <b>트렌치 코트</b> AWWBYO31020,https://search.shopping.naver.com/catalog/50881315915,https://shopping-phinf.pstatic.net/main_5088131/50881315915.20250312145518.jpg,64710,,네이버,50881315915,1,시스티나,인동에프엔,패션의류,여성의류,아우터,트렌치코트
잇미샤 벨티드 <b>트렌치 코트</b> ITP2WBY300,https://search.shopping.naver.com/catalog/53165145562,https://shopping-phinf.pstatic.net/main_5316514/53165145562.20250222210910.jpg,209400,,네이버,53165145562,1,잇미샤,시선인터내셔널,패션의류,여성의류,아우터,트렌치코트
케네스레이디 라빈 카라넥 <b>트렌치코트</b> EVTCPB9900,https://search.shopping.naver.com/catalog/53450674903,https://shopping-phinf.pstatic.net/main_5345067/53450674903.20250309225557.jpg,126490,,네이버,53450674903,1,케네스레이디,라인바이린,패션의류,여성의류,아우터,트렌치코트
BCBG 디어 <b>트렌치 코트</b> b5a2n784,https://search.shopping.naver.com/catalog/56668321220,https://shopping-phinf.pstatic.net/main_5666832/56668321220.20250911195817.jpg,57444,,네이버,56668321220,1,BCBG,수인터내셔날,패션의류,여성의류,아우터,트렌치코트
로던 싱글 웨더 <b>트렌치코트</b> 1종 HLSSCCV502P,https://search.shopping.naver.com/catalog/57954274882,https://shopping-phinf.pstatic.net/main_5795427/57954274882.20251129101147.jpg,28537,,네이버,57954274882,1,로던,케이브랜즈,패션의류,여성의류,아우터,트렌치코트
올리브데올리브 더블 벨티드 <b>트렌치코트</b> YW5SR150,https://search.shopping.naver.com/catalog/56862299412,https://shopping-phinf.pstatic.net/main_5686229/56862299412.20250922144908.jpg,132720,,네이버,56862299412,1,올리브데올리브,올리브데올리브,패션의류,여성의류,아우터,트렌치코트
베른 패턴 하프 <b>트렌치 코트</b>,https://smartstore.naver.com/main/products/12945663288,https://shopping-phinf.pstatic.net/main_9049017/90490174298.1.jpg,137000,,사색,90490174298,2,사색,,패션의류,여성의류,아우터,트렌치코트
노운베러 Hoodie half <b>trench coat</b> KNFW02CT0,https://search.shopping.naver.com/catalog/56629675049,https://shopping-phinf.pstatic.net/main_5662967/56629675049.20250930001442.jpg,228950,,네이버,56629675049,1,노운베러,,패션의류,여성의류,아우터,트렌치코트
앤드지 세미루즈핏 체스터 <b>트렌치코트</b> BZB1CG1201,https://search.shopping.naver.com/catalog/56863964083,https://shopping-phinf.pstatic.net/main_5686396/56863964083.20250922154849.jpg,31202,,네이버,56863964083,1,앤드지,앤드지,패션의류,남성의류,아우터,트렌치코트
봄 여성 바바리 블랙<b>트렌치코트</b>,https://smartstore.naver.com/main/products/4240272209,https://shopping-phinf.pstatic.net/main_8178479/81784793756.6.jpg,139000,,희살롱,81784793756,2,,,패션의류,여성의류,아우터,트렌치코트
트리아나 양면 구스 <b>트렌치코트</b> AJ4FA05,https://search.shopping.naver.com/catalog/44759442226,https://shopping-phinf.pstatic.net/main_4475944/44759442226.20231219203949.jpg,121430,,네이버,44759442226,1,트리아나,소고디자인,패션의류,여성의류,아우터,트렌치코트
모조에스핀 더블 버튼 울 <b>트렌치 코트</b> S254MSI001,https://search.shopping.naver.com/catalog/56630984398,https://shopping-phinf.pstatic.net/main_5663098/56630984398.20250907203651.jpg,456960,,네이버,56630984398,1,모조에스핀,대현,패션의류,여성의류,아우터,트렌치코트
틸아이다이 틸다이 Mac half <b>trench coat</b> Deep,https://search.shopping.naver.com/catalog/58728135263,https://shopping-phinf.pstatic.net/main_5872813/58728135263.20260130232057.jpg,148940,,네이버,58728135263,1,틸아이다이,,패션의류,여성의류,아우터,트렌치코트
지센 벨티드 A라인 롱 바바리<b>코트</b> LFCAN902,https://search.shopping.naver.com/catalog/54258534254,https://shopping-phinf.pstatic.net/main_5425853/54258534254.20250420064048.jpg,50830,,네이버,54258534254,1,지센,위비스,패션의류,여성의류,아우터,트렌치코트
