period,ratio,keyword
2025-01-19,6.97674,숏 트렌치코트
2025-01-20,5.94315,숏 트렌치코트
2025-01-21,5.16795,숏 트렌치코트
2025-01-22,6.97674,숏 트렌치코트
2025-01-23,5.42635,숏 트렌치코트
2025-01-24,4.39276,숏 트렌치코트
2025-01-25,9.04392,숏 트렌치코트
2025-01-26,9.30232,숏 트렌치코트
2025-01-27,6.20155,숏 트렌치코트
2025-01-28,6.45994,숏 트렌치코트
2025-01-29,5.68475,숏 트렌치코트
2025-01-30,8.78552,숏 트렌치코트
2025-01-31,7.49354,숏 트렌치코트
2025-02-01,11.8863,숏 트렌치코트
2025-02-02,10.59431,숏 트렌치코트
2025-02-03,5.42635,숏 트렌치코트
2025-02-04,10.59431,숏 트렌치코트
2025-02-05,8.26873,숏 트렌치코트
2025-02-06,6.97674,숏 트렌치코트
2025-02-07,6.71834,숏 트렌치코트
2025-02-08,8.78552,숏 트렌치코트
2025-02-09,8.78552,숏 트렌치코트
2025-02-10,8.01033,숏 트렌치코트
2025-02-11,11.3695,숏 트렌치코트
2025-02-12,9.56072,숏 트렌치코트
2025-02-13,10.07751,숏 트렌치코트
2025-02-14,17.31266,숏 트렌치코트
2025-02-15,17.05426,숏 트렌치코트
2025-02-16,24.5478,숏 트렌치코트
2025-02-17,18.34625,숏 트렌치코트
2025-02-18,20.41343,숏 트렌치코트
2025-02-19,21.44702,숏 트렌치코트
2025-02-20,14.21188,숏 트렌치코트
2025-02-21,10.33591,숏 트렌치코트
2025-02-22,20.67183,숏 트렌치코트
2025-02-23,19.12144,숏 트렌치코트
2025-02-24,21.96382,숏 트렌치코트
2025-02-25,26.35658,숏 트렌치코트
2025-02-26,26.61498,숏 트렌치코트
2025-02-27,18.60465,숏 트렌치코트
2025-02-28,21.96382,숏 트렌치코트
2025-03-01,40.05167,숏 트렌치코트
2025-03-02,48.06201,숏 트렌치코트
2025-03-03,46.77002,숏 트렌치코트
2025-03-04,55.03875,숏 트렌치코트
2025-03-05,51.67958,숏 트렌치코트
2025-03-06,53.74677,숏 트렌치코트
2025-03-07,51.16279,숏 트렌치코트
2025-03-08,60.98191,숏 트렌치코트
2025-03-09,64.85788,숏 트렌치코트
2025-03-10,69.76744,숏 트렌치코트
2025-03-11,75.96899,숏 트렌치코트
2025-03-12,83.97932,숏 트렌치코트
